supertype,archetype,deck_href,player,player_href,event,event_href,rank,date
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=6169&d=235606&f=MO,Yuvee,http://www.mtgtop8.com/search?player=Yuvee+,MTGO_Modern_Event_(#6392994),http://www.mtgtop8.com/event?e=6169&f=MO,4,11/29/2013
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=6084&d=235187&f=MO,Enrico_Ciccarelli,http://www.mtgtop8.com/search?player=Enrico+Ciccarelli,Modern_Topdeck,http://www.mtgtop8.com/event?e=6084&f=MO,4,11/17/2013
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=6037&d=234969&f=MO,obv,http://www.mtgtop8.com/search?player=obv+,MTGO_Modern_Event_(#6308453),http://www.mtgtop8.com/event?e=6037&f=MO,4,11/14/2013
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=5992&d=234778&f=MO,Alchemixt,http://www.mtgtop8.com/search?player=Alchemixt+,MTGO_Modern_Daily_(#6282024),http://www.mtgtop8.com/event?e=5992&f=MO,4,11/12/2013
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=5979&d=234683&f=MO,DarkestMage,http://www.mtgtop8.com/search?player=DarkestMage+,MTGO_Modern_Daily_(#6257932),http://www.mtgtop8.com/event?e=5979&f=MO,4,11/8/2013
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=5763&d=233383&f=MO,Bane_Bane,http://www.mtgtop8.com/search?player=Bane_Bane+,MTGO_Modern_Premier_(#6044631),http://www.mtgtop8.com/event?e=5763&f=MO,4,10/7/2013
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=5773&d=233452&f=MO,Renato_Cevolani,http://www.mtgtop8.com/search?player=Renato+Cevolani,GPT_Antwerp_-_Ubersetto_MO,http://www.mtgtop8.com/event?e=5773&f=MO,4,10/6/2013
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=5720&d=233175&f=MO,Ofelia,http://www.mtgtop8.com/search?player=Ofelia+,MTGO_Modern_Daily_(#6044509),http://www.mtgtop8.com/event?e=5720&f=MO,4,10/3/2013
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=5696&d=233042&f=MO,luke66,http://www.mtgtop8.com/search?player=luke66+,MTGO_Modern_Daily_(#6021757),http://www.mtgtop8.com/event?e=5696&f=MO,4,9/28/2013
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=5589&d=232366&f=MO,Dr_Stein,http://www.mtgtop8.com/search?player=Dr_Stein+,MTGO_Modern_Daily_(#5936718),http://www.mtgtop8.com/event?e=5589&f=MO,4,9/8/2013
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=5392&d=231135&f=MO,EdB,http://www.mtgtop8.com/search?player=EdB+,MTGO_Modern_Premier_(#5765210),http://www.mtgtop8.com/event?e=5392&f=MO,4,8/5/2013
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=5246&d=230253&f=MO,slideman,http://www.mtgtop8.com/search?player=slideman+,MTGO_Modern_Premier_(#5656634),http://www.mtgtop8.com/event?e=5246&f=MO,4,7/8/2013
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=5218&d=230091&f=MO,fEdErIqUiNhO,http://www.mtgtop8.com/search?player=fEdErIqUiNhO+,MTGO_Modern_Premier_(#5625405),http://www.mtgtop8.com/event?e=5218&f=MO,4,7/1/2013
