deck.href,deck.text,player.href,player.text,event.href,event.text,rank,date
http://www.mtgtop8.com/event?e=8018&d=246194&f=MO,Affinity,http://www.mtgtop8.com/search?player=Mark+Schoonover,Mark Schoonover,http://www.mtgtop8.com/event?e=8018&f=MO,2014 Modern State Championships - Ohio,2,3/8/2014
http://www.mtgtop8.com/event?e=8022&d=246221&f=MO,Affinity,http://www.mtgtop8.com/search?player=Ryan+Morlock,Ryan Morlock,http://www.mtgtop8.com/event?e=8022&f=MO,SCG Premier IQ - Dallas,14,3/8/2014
http://www.mtgtop8.com/event?e=7931&d=245606&f=MO,Affinity,http://www.mtgtop8.com/search?player=austindz2,austindz2,http://www.mtgtop8.com/event?e=7931&f=MO,MTGO Modern Daily (#7332810),4,2/8/2014
http://www.mtgtop8.com/event?e=7932&d=245620&f=MO,Affinity,http://www.mtgtop8.com/search?player=Dr_Macoler_,Dr_Macoler_,http://www.mtgtop8.com/event?e=7932&f=MO,MTGO Modern Premier (#7332801),5,2/8/2014
http://www.mtgtop8.com/event?e=7932&d=245622&f=MO,Affinity,http://www.mtgtop8.com/search?player=Yunhao_Wu_CHN,Yunhao_Wu_CHN,http://www.mtgtop8.com/event?e=7932&f=MO,MTGO Modern Premier (#7332801),3,2/8/2014
http://www.mtgtop8.com/event?e=7930&d=245602&f=MO,Affinity,http://www.mtgtop8.com/search?player=EskimoJoe,EskimoJoe,http://www.mtgtop8.com/event?e=7930&f=MO,MTGO Modern Daily (#7332766),3,1/8/2014
http://www.mtgtop8.com/event?e=7955&d=245792&f=MO,Affinity,http://www.mtgtop8.com/search?player=Karna33,Karna33,http://www.mtgtop8.com/event?e=7955&f=MO,MTGO Modern Daily (#7313513),1,29/07/14
http://www.mtgtop8.com/event?e=7919&d=245564&f=MO,Affinity,http://www.mtgtop8.com/search?player=Karna33,Karna33,http://www.mtgtop8.com/event?e=7919&f=MO,MTGO Modern Daily (#7313485),4,28/07/14
http://www.mtgtop8.com/event?e=7905&d=245450&f=MO,Affinity,http://www.mtgtop8.com/search?player=Nathan+Jones,Nathan Jones,http://www.mtgtop8.com/event?e=7905&f=MO,Grand Prix Boston 2014,10,27/07/14
http://www.mtgtop8.com/event?e=7905&d=245454&f=MO,Affinity,http://www.mtgtop8.com/search?player=Alex+Bertoncini,Alex Bertoncini,http://www.mtgtop8.com/event?e=7905&f=MO,Grand Prix Boston 2014,12,27/07/14
http://www.mtgtop8.com/event?e=7947&d=245722&f=MO,Affinity,http://www.mtgtop8.com/search?player=Hans+Napp,Hans Napp,http://www.mtgtop8.com/event?e=7947&f=MO,"PTQ Khans of Tarkir (St. Louis, Missouri)",6,26/07/14
http://www.mtgtop8.com/event?e=7898&d=245428&f=MO,Affinity,http://www.mtgtop8.com/search?player=DreamWizard,DreamWizard,http://www.mtgtop8.com/event?e=7898&f=MO,MTGO Modern Daily (#7313337),5,25/07/14
http://www.mtgtop8.com/event?e=7898&d=245430&f=MO,Affinity,http://www.mtgtop8.com/search?player=Ellison,Ellison,http://www.mtgtop8.com/event?e=7898&f=MO,MTGO Modern Daily (#7313337),1,25/07/14
http://www.mtgtop8.com/event?e=7906&d=245470&f=MO,Affinity,http://www.mtgtop8.com/search?player=Pieter+Tubergen,Pieter Tubergen,http://www.mtgtop8.com/event?e=7906&f=MO,GP Boston 2014 - Trial Winners,1,25/07/14
http://www.mtgtop8.com/event?e=7906&d=245471&f=MO,Affinity,http://www.mtgtop8.com/search?player=Matthew+Williams,Matthew Williams,http://www.mtgtop8.com/event?e=7906&f=MO,GP Boston 2014 - Trial Winners,1,25/07/14
http://www.mtgtop8.com/event?e=7906&d=245490&f=MO,Affinity,http://www.mtgtop8.com/search?player=Paul+Mendez,Paul Mendez,http://www.mtgtop8.com/event?e=7906&f=MO,GP Boston 2014 - Trial Winners,1,25/07/14
http://www.mtgtop8.com/event?e=7868&d=245292&f=MO,Affinity,http://www.mtgtop8.com/search?player=Ellison,Ellison,http://www.mtgtop8.com/event?e=7868&f=MO,MTGO Modern Daily (#7299767),2,22/07/14
http://www.mtgtop8.com/event?e=7868&d=245293&f=MO,Affinity,http://www.mtgtop8.com/search?player=wgnra0530,wgnra0530,http://www.mtgtop8.com/event?e=7868&f=MO,MTGO Modern Daily (#7299767),3,22/07/14
http://www.mtgtop8.com/event?e=7865&d=245282&f=MO,Affinity,http://www.mtgtop8.com/search?player=djbmppwns,djbmppwns,http://www.mtgtop8.com/event?e=7865&f=MO,MTGO Modern Daily (#7299759),2,21/07/14
http://www.mtgtop8.com/event?e=7869&d=245304&f=MO,Affinity,http://www.mtgtop8.com/search?player=WhiteStripe,WhiteStripe,http://www.mtgtop8.com/event?e=7869&f=MO,MTGO Modern Premier (#7299721),2,21/07/14
http://www.mtgtop8.com/event?e=7843&d=245152&f=MO,Affinity,http://www.mtgtop8.com/search?player=Beaubafett,Beaubafett,http://www.mtgtop8.com/event?e=7843&f=MO,MTGO Modern Daily (#7299719),4,20/07/14
http://www.mtgtop8.com/event?e=7852&d=245226&f=MO,Affinity,http://www.mtgtop8.com/search?player=Hozumi+Masashi,Hozumi Masashi,http://www.mtgtop8.com/event?e=7852&f=MO,GPT Kobe in Ikkokukan Machida,3,20/07/14
http://www.mtgtop8.com/event?e=7831&d=245074&f=MO,Affinity,http://www.mtgtop8.com/search?player=Yunhao_Wu_CHN,Yunhao_Wu_CHN,http://www.mtgtop8.com/event?e=7831&f=MO,MTGO Modern Premier (#7299662),2,19/07/14
http://www.mtgtop8.com/event?e=7854&d=245230&f=MO,Affinity,http://www.mtgtop8.com/search?player=Mario+Anula,Mario Anula,http://www.mtgtop8.com/event?e=7854&f=MO,Evomodern,7,19/07/14
http://www.mtgtop8.com/event?e=7854&d=245231&f=MO,Affinity,http://www.mtgtop8.com/search?player=Edward+Sanchez,Edward Sanchez,http://www.mtgtop8.com/event?e=7854&f=MO,Evomodern,8,19/07/14
http://www.mtgtop8.com/event?e=7854&d=245236&f=MO,Affinity,http://www.mtgtop8.com/search?player=Adrian+Retamosa,Adrian Retamosa,http://www.mtgtop8.com/event?e=7854&f=MO,Evomodern,1,19/07/14
http://www.mtgtop8.com/event?e=7890&d=245385&f=MO,Affinity,http://www.mtgtop8.com/search?player=Antonio+Martos,Antonio Martos,http://www.mtgtop8.com/event?e=7890&f=MO,4º Open Modern Catalunya,1,19/07/14
http://www.mtgtop8.com/event?e=7819&d=245039&f=MO,Affinity,http://www.mtgtop8.com/search?player=Metric_Blindness,Metric_Blindness,http://www.mtgtop8.com/event?e=7819&f=MO,MTGO Modern Daily (#7283195),3,16/07/14
http://www.mtgtop8.com/event?e=7819&d=245041&f=MO,Affinity,http://www.mtgtop8.com/search?player=Diem4x,Diem4x,http://www.mtgtop8.com/event?e=7819&f=MO,MTGO Modern Daily (#7283195),5,16/07/14
http://www.mtgtop8.com/event?e=7807&d=244976&f=MO,Affinity,http://www.mtgtop8.com/search?player=coldmind,coldmind,http://www.mtgtop8.com/event?e=7807&f=MO,MTGO Modern Daily (#7283187),5,15/07/14
http://www.mtgtop8.com/event?e=7811&d=244994&f=MO,Affinity,http://www.mtgtop8.com/search?player=Ggb,Ggb,http://www.mtgtop8.com/event?e=7811&f=MO,MTGO Modern Premier (#7283118),5,14/07/14
http://www.mtgtop8.com/event?e=7811&d=245001&f=MO,Affinity,http://www.mtgtop8.com/search?player=Andrea94,Andrea94,http://www.mtgtop8.com/event?e=7811&f=MO,MTGO Modern Premier (#7283118),1,14/07/14
http://www.mtgtop8.com/event?e=7791&d=244859&f=MO,Affinity,http://www.mtgtop8.com/search?player=Joshsantos92,Joshsantos92,http://www.mtgtop8.com/event?e=7791&f=MO,MTGO Modern Premier (#7283071),4,13/07/14
http://www.mtgtop8.com/event?e=7799&d=244916&f=MO,Affinity,http://www.mtgtop8.com/search?player=Andrea94,Andrea94,http://www.mtgtop8.com/event?e=7799&f=MO,MTGO Modern Premier (#7283106),6,13/07/14
http://www.mtgtop8.com/event?e=7840&d=245144&f=MO,Affinity,http://www.mtgtop8.com/search?player=Klaas+Grüber,Klaas Grüber,http://www.mtgtop8.com/event?e=7840&f=MO,"PTQ Khans of Tarkir (Hannover, Germany)",10,13/07/14
http://www.mtgtop8.com/event?e=7786&d=244824&f=MO,Affinity,http://www.mtgtop8.com/search?player=wgnra0530,wgnra0530,http://www.mtgtop8.com/event?e=7786&f=MO,MTGO Modern Premier (#7283059),5,12/7/2014
http://www.mtgtop8.com/event?e=7756&d=244629&f=MO,Affinity,http://www.mtgtop8.com/search?player=OlleR,OlleR,http://www.mtgtop8.com/event?e=7756&f=MO,MTGO Modern Daily (#7263515),7,8/7/2014
http://www.mtgtop8.com/event?e=7760&d=244657&f=MO,Affinity,http://www.mtgtop8.com/search?player=DaveLombardoJr,DaveLombardoJr,http://www.mtgtop8.com/event?e=7760&f=MO,MTGO Modern Premier (#7263446),2,7/7/2014
http://www.mtgtop8.com/event?e=7760&d=244659&f=MO,Affinity,http://www.mtgtop8.com/search?player=VenioEtVinco,VenioEtVinco,http://www.mtgtop8.com/event?e=7760&f=MO,MTGO Modern Premier (#7263446),16,7/7/2014
http://www.mtgtop8.com/event?e=7760&d=244660&f=MO,Affinity,http://www.mtgtop8.com/search?player=LucaAshok,LucaAshok,http://www.mtgtop8.com/event?e=7760&f=MO,MTGO Modern Premier (#7263446),13,7/7/2014
http://www.mtgtop8.com/event?e=7761&d=244668&f=MO,Affinity,http://www.mtgtop8.com/search?player=_megafone_,_megafone_,http://www.mtgtop8.com/event?e=7761&f=MO,MTGO Modern Premier (#7263399),3,6/7/2014
