supertype,archetype,deck_href,player,player_href,event,event_href,rank,date
Control,UW_Control,http://www.mtgtop8.com/event?e=4532&d=226277&f=MO,Daniel_Dusang,http://www.mtgtop8.com/search?player=Daniel+Dusang,"PTQ_San_Diego'13_(Springfield,_Missouri)",http://www.mtgtop8.com/event?e=4532&f=MO,5,3/2/2013
Control,UW_Control,http://www.mtgtop8.com/event?e=4533&d=226285&f=MO,Seymour_Skinner,http://www.mtgtop8.com/search?player=Seymour+Skinner,"PTQ_San_Diego'13_(Springfield,_?)",http://www.mtgtop8.com/event?e=4533&f=MO,5,3/2/2013
Control,UW_Control,http://www.mtgtop8.com/event?e=4423&d=225672&f=MO,James_Seelhoff,http://www.mtgtop8.com/search?player=James+Seelhoff,"PTQ_San_Diego'13_(Garden_City,_Michigan)",http://www.mtgtop8.com/event?e=4423&f=MO,5,2/9/2013
Control,UW_Control,http://www.mtgtop8.com/event?e=4303&d=225115&f=MO,Kraftwerk,http://www.mtgtop8.com/search?player=Kraftwerk+,"PTQ_San_Diego'13_(MTGO,_#4981512)",http://www.mtgtop8.com/event?e=4303&f=MO,5,2/4/2013
Control,UW_Control,http://www.mtgtop8.com/event?e=4167&d=224357&f=MO,H_Empire,http://www.mtgtop8.com/search?player=H_Empire+,"PTQ_San_Diego'13_(MTGO,_#4877272)",http://www.mtgtop8.com/event?e=4167&f=MO,5,1/13/2013
Control,UW_Control,http://www.mtgtop8.com/event?e=4278&d=224984&f=MO,Mayantigo_Don©s,http://www.mtgtop8.com/search?player=Mayantigo+Don©s,"PTQ_San_Diego'13_(Barcelona,_Spain)",http://www.mtgtop8.com/event?e=4278&f=MO,5,1/12/2013
Control,UW_Control,http://www.mtgtop8.com/event?e=4083&d=223924&f=MO,danabeast7,http://www.mtgtop8.com/search?player=danabeast7+,MTGO_Modern_Premier_(#4776301),http://www.mtgtop8.com/event?e=4083&f=MO,5,12/31/2012
Control,UW_Control,http://www.mtgtop8.com/event?e=3938&d=223319&f=MO,Collin_Morton,http://www.mtgtop8.com/search?player=Collin+Morton,Grand_Prix_Toronto_2012,http://www.mtgtop8.com/event?e=3938&f=MO,5,12/9/2012
Control,UW_Control,http://www.mtgtop8.com/event?e=8005&d=246090&f=MO,Joe_Ambrosio,http://www.mtgtop8.com/search?player=Joe+Ambrosio,2014_Modern_State_Championships_-_South_Carolina,http://www.mtgtop8.com/event?e=8005&f=MO,6,8/3/2014
Control,UW_Control,http://www.mtgtop8.com/event?e=7358&d=242139&f=MO,AntzzzOnALog,http://www.mtgtop8.com/search?player=AntzzzOnALog+,MTGO_Modern_Premier_(#7095543),http://www.mtgtop8.com/event?e=7358&f=MO,6,5/18/2014
