supertype,archetype,deck_href,player,player_href,event,event_href,rank,date
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=8144&d=246915&f=MO,Matt_Mccullough,http://www.mtgtop8.com/search?player=Matt+Mccullough,"PTQ_Khans_of_Tarkir_(Garden_City,_Michigan)",http://www.mtgtop8.com/event?e=8144&f=MO,3,8/29/2014
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=8087&d=246593&f=MO,Kevin_Jones,http://www.mtgtop8.com/search?player=Kevin+Jones,"SCG_Premier_IQ_-_Washington,_DC",http://www.mtgtop8.com/event?e=8087&f=MO,3,8/24/2014
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=8046&d=246328&f=MO,Znapcaster,http://www.mtgtop8.com/search?player=Znapcaster,MTGO_Modern_Daily_(#7401796),http://www.mtgtop8.com/event?e=8046&f=MO,3,8/23/2014
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=8111&d=246733&f=MO,Felipe_Mira,http://www.mtgtop8.com/search?player=Felipe+Mira,"PTQ_Khans_of_Tarkir_(Medellín,_Colombia)",http://www.mtgtop8.com/event?e=8111&f=MO,3,8/17/2014
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=8111&d=246734&f=MO,Gabriel_Acevedo,http://www.mtgtop8.com/search?player=Gabriel+Acevedo,"PTQ_Khans_of_Tarkir_(Medellín,_Colombia)",http://www.mtgtop8.com/event?e=8111&f=MO,3,8/17/2014
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=8056&d=246440&f=MO,Francesco_Festorazzi,http://www.mtgtop8.com/search?player=Francesco+Festorazzi,"PTQ_Khans_of_Tarkir_(Riccione,_Italy)",http://www.mtgtop8.com/event?e=8056&f=MO,3,8/16/2014
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=7964&d=245853&f=MO,Zachary_Duncan,http://www.mtgtop8.com/search?player=Zachary+Duncan,2014_Modern_State_Championships_-_Pennsylvania,http://www.mtgtop8.com/event?e=7964&f=MO,3,8/3/2014
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=8000&d=246044&f=MO,Jeff_Buckhannon,http://www.mtgtop8.com/search?player=Jeff+Buckhannon,2014_Modern_State_Championships_-_Louisiana,http://www.mtgtop8.com/event?e=8000&f=MO,3,8/3/2014
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=7947&d=245725&f=MO,Joey_Mispagel,http://www.mtgtop8.com/search?player=Joey+Mispagel,"PTQ_Khans_of_Tarkir_(St._Louis,_Missouri)",http://www.mtgtop8.com/event?e=7947&f=MO,3,7/26/2014
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=7844&d=245161&f=MO,darklilou,http://www.mtgtop8.com/search?player=darklilou,MTGO_Modern_Premier_(#7299709),http://www.mtgtop8.com/event?e=7844&f=MO,3,7/20/2014
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=7854&d=245234&f=MO,Cristian_Retuerta,http://www.mtgtop8.com/search?player=Cristian+Retuerta,Evomodern,http://www.mtgtop8.com/event?e=7854&f=MO,3,7/19/2014
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=7849&d=245184&f=MO,Taufik_Indrakesuma,http://www.mtgtop8.com/search?player=+Taufik+Indrakesuma,"PTQ_Khans_of_Tarkir_(Surabaya,_Indonesia)",http://www.mtgtop8.com/event?e=7849&f=MO,3,7/6/2014
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=7860&d=245257&f=MO,Cristian_Retuerta,http://www.mtgtop8.com/search?player=Cristian+Retuerta,"PTQ_Khans_of_Tarkir_(Murcia,_Spain)",http://www.mtgtop8.com/event?e=7860&f=MO,3,7/6/2014
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=7962&d=245837&f=MO,Mathias_De_Momi,http://www.mtgtop8.com/search?player=Mathias+De+Momi,IMT_5_-_Italian_Magic_Tour_-_Milano,http://www.mtgtop8.com/event?e=7962&f=MO,3,7/6/2014
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=7802&d=244944&f=MO,Davide_Miami,http://www.mtgtop8.com/search?player=Davide+Miami,"PTQ_Khans_of_Tarkir_(Linz,_Austria)",http://www.mtgtop8.com/event?e=7802&f=MO,3,7/5/2014
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=7858&d=245249&f=MO,Jeff_Ledsome,http://www.mtgtop8.com/search?player=Jeff+Ledsome,"PTQ_Khans_of_Tarkir_(Monroeville,_Pennsylvania)",http://www.mtgtop8.com/event?e=7858&f=MO,3,7/5/2014
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=7673&d=244072&f=MO,Pistrullo,http://www.mtgtop8.com/search?player=Pistrullo,MTGO_Modern_Daily_(#7241901),http://www.mtgtop8.com/event?e=7673&f=MO,3,6/27/2014
Combo,Twin_Exarch,http://www.mtgtop8.com/event?e=7689&d=244167&f=MO,coughl,http://www.mtgtop8.com/search?player=coughl,MTGO_Modern_Daily_(#7218362),http://www.mtgtop8.com/event?e=7689&f=MO,3,6/23/2014
